==Test: setup
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.769919   PASS
==Test: vanadium ramp2
==SubTest: DIAGS_i2c 6
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.783750   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_msb 3
			lower:; upper:; value:0x32
2019-05-12 05:41:32.799681   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_lsb 3
			lower:; upper:; value:0x2B 
2019-05-12 05:41:32.816374   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_binary 3
			lower:; upper:; value:12843
2019-05-12 05:41:32.838928   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_voltage_600mv_g1
			lower:540; upper:660; value:602.015625
2019-05-12 05:41:32.858069   PASS
==Test: vanadium ramp2
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 4
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.875236   PASS
==Test: vanadium ramp2
==SubTest: DELAY_20ms 4
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.887659   PASS
==Test: vanadium ramp2
==SubTest: DIAGS_i2c 7
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.899731   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_msb 4
			lower:; upper:; value:0x42
2019-05-12 05:41:32.911519   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_lsb 4
			lower:; upper:; value:0xE9 
2019-05-12 05:41:32.925101   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_binary 4
			lower:; upper:; value:17129
2019-05-12 05:41:32.938284   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_voltage_800mv_g1
			lower:720; upper:880; value:802.921875
2019-05-12 05:41:32.951532   PASS
==Test: vanadium ramp2
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 5
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.973813   PASS
==Test: vanadium ramp2
==SubTest: DELAY_20ms 5
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.985136   PASS
==Test: vanadium ramp2
==SubTest: DIAGS_i2c 8
			lower:; upper:; value:--PASS--
2019-05-12 05:41:32.997765   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_msb 5
			lower:; upper:; value:0x53
2019-05-12 05:41:33.010980   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_lsb 5
			lower:; upper:; value:0xA6 
2019-05-12 05:41:33.024607   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_binary 5
			lower:; upper:; value:21414
2019-05-12 05:41:33.043752   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_voltage_1000mv_g1
			lower:900; upper:1100; value:1003.78125
2019-05-12 05:41:33.059051   PASS
==Test: vanadium ramp2
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 6
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.068131   PASS
==Test: vanadium ramp2
==SubTest: DELAY_20ms 6
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.080750   PASS
==Test: vanadium ramp2
==SubTest: DIAGS_i2c 9
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.089349   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_msb 6
			lower:; upper:; value:0x64
2019-05-12 05:41:33.097575   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_lsb 6
			lower:; upper:; value:0x67 
2019-05-12 05:41:33.110943   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_binary 6
			lower:; upper:; value:25703
2019-05-12 05:41:33.125793   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_voltage_1200mv_g1
			lower:1080; upper:1320; value:1204.828125
2019-05-12 05:41:33.138485   PASS
==Test: vanadium ramp2
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 7
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.148168   PASS
==Test: vanadium ramp2
==SubTest: DELAY_20ms 7
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.161517   PASS
==Test: vanadium ramp2
==SubTest: DIAGS_i2c 10
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.175545   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_msb 7
			lower:; upper:; value:0x75
2019-05-12 05:41:33.186139   PASS
==Test: vanadium ramp2
==SubTest: PARSE adc_lsb 7
			lower:; upper:; value:0x28 
2019-05-12 05:41:33.194482   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_binary 7
			lower:; upper:; value:29992
2019-05-12 05:41:33.202846   PASS
==Test: vanadium ramp2
==SubTest: CALC adc_voltage_1400mv_g1
			lower:1260; upper:1540; value:1405.875
2019-05-12 05:41:33.212809   PASS
==Test: vanadium threshold
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.222127   PASS
==Test: vanadium threshold
==SubTest: DIAGS_i2c 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.231343   PASS
==Test: vanadium threshold
==SubTest: CALC threshold_binary
			lower:; upper:; value:5461.3333333333
2019-05-12 05:41:33.238319   PASS
==Test: vanadium threshold
==SubTest: DIAGS_i2c 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.247196   PASS
==Test: vanadium threshold
==SubTest: DIAGS_i2c 2
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.254958   PASS
==Test: vanadium threshold
==SubTest: DELAY_20ms 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.264388   PASS
==Test: vanadium threshold
==SubTest: DIAGS_socgpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.273198   PASS
==Test: vanadium threshold
==SubTest: SOLDAC DISP_TO_PMU_ISENSE_CONN 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.280984   PASS
==Test: vanadium threshold
==SubTest: DELAY_20ms 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.288052   PASS
==Test: vanadium threshold
==SubTest: DIAGS_socgpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.295212   PASS
==Test: vanadium teardown
==SubTest: DISCONNECT SOL_SUPPLY_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.300843   PASS
==Test: vanadium teardown
==SubTest: SOLDAC DISCONNECT
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.306253   PASS
==Test: pmu ulp
==SubTest: DIAGS_pmureg
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.312033   PASS
==Test: pmu ulp
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:41:33.316803   PASS
==Test: pmu ulp
==SubTest: DETECT_Event off: PmuCore
			lower:; upper:; value:--PASS--
2019-05-12 05:41:34.384216   PASS
==Test: pmu ulp
==SubTest: DELAY_1000ms
			lower:; upper:; value:--PASS--
2019-05-12 05:41:35.387989   PASS
==Test: pmu ulp
==SubTest: DISCONNECT DUT_ARM_UART
			lower:; upper:; value:--PASS--
2019-05-12 05:41:35.397523   PASS
==Test: pmu ulp
==SubTest: DMM PP5V6_SLEEP2_BOOST2
			lower:-5; upper:5; value:0.350975
2019-05-12 05:41:35.541968   PASS
==Test: pmu ulp
==SubTest: DMM PP_VDD_MAIN
			lower:3400; upper:3900; value:3577.791334
2019-05-12 05:41:35.681029   PASS
==Test: pmu ulp
==SubTest: DMM PPVDD_MAIN_SLEEP3_SW4
			lower:-5; upper:5; value:0.171492
2019-05-12 05:41:35.832996   PASS
==Test: pmu ulp
==SubTest: DMM PP_VDD_MAIN_DISP_BOOST_SW
			lower:-5; upper:5; value:0.094599
2019-05-12 05:41:35.984165   PASS
==Test: pmu ulp
==SubTest: DMM PP0V6_AWAKE_BUCK0
			lower:-5; upper:5; value:0.104136
2019-05-12 05:41:36.128478   PASS
==Test: pmu ulp
==SubTest: DMM PP0V715_SLEEP2_BUCK1
			lower:-5; upper:5; value:0.106520
2019-05-12 05:41:36.285147   PASS
==Test: pmu ulp
==SubTest: DMM PP1V1_SLEEP2_BUCK2
			lower:-5; upper:5; value:0.105328
2019-05-12 05:41:36.430223   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_SLEEP2_BUCK3
			lower:-5; upper:5; value:0.147649
2019-05-12 05:41:36.574373   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_SLEEP2_DISP_CONN
			lower:-5; upper:5; value:0.089830
2019-05-12 05:41:36.725628   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_SLEEP2_STOCKHOLM_CONN
			lower:-5; upper:5; value:0.089234
2019-05-12 05:41:36.872589   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_SLEEP1_BUCK4
			lower:-5; upper:5; value:0.092810
2019-05-12 05:41:37.029309   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_AWAKE_BUCK5
			lower:-5; upper:5; value:0.098771
2019-05-12 05:41:37.171779   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_AWAKE_BUCK6
			lower:-5; upper:5; value:0.093407
2019-05-12 05:41:37.323634   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_SLEEP1_BUCK7
			lower:-5; upper:5; value:0.091022
2019-05-12 05:41:37.474114   PASS
==Test: pmu ulp
==SubTest: DMM PP0V73_SLEEP1_BUCK8
			lower:-5; upper:5; value:0.095791
2019-05-12 05:41:37.614833   PASS
==Test: pmu ulp
==SubTest: DMM PP1V0_SLEEP2_BUCK9
			lower:-5; upper:5; value:0.100559
2019-05-12 05:41:37.759070   PASS
==Test: pmu ulp
==SubTest: DMM PP2V2_SLEEP2_BUCK10
			lower:-5; upper:5; value:0.101752
2019-05-12 05:41:37.916070   PASS
==Test: pmu ulp
==SubTest: DMM PP3V3_ALWAYS_BUBO
			lower:3400; upper:3900; value:3577.599399
2019-05-12 05:41:38.077274   PASS
==Test: pmu ulp
==SubTest: DMM PP0V6_SLEEP2_LDO0
			lower:-5; upper:5; value:0.692459
2019-05-12 05:41:38.216493   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_SLEEP2_LDO1
			lower:-5; upper:5; value:0.094599
2019-05-12 05:41:38.374654   PASS
==Test: pmu ulp
==SubTest: DMM PP3V0_SLEEP2_LDO2
			lower:-5; upper:5; value:0.094599
2019-05-12 05:41:38.532357   PASS
==Test: pmu ulp
==SubTest: DMM PP3V0_AWAKE_LDO4
			lower:-5; upper:5; value:0.098175
2019-05-12 05:41:38.705881   PASS
==Test: pmu ulp
==SubTest: DMM PP3V0_SLEEP2_LDO5
			lower:-5; upper:5; value:0.088638
2019-05-12 05:41:38.868397   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_SLEEP2_LDO6
			lower:-5; upper:5; value:0.089830
2019-05-12 05:41:39.032902   PASS
==Test: pmu ulp
==SubTest: DMM PP3V0_AWAKE_LDO7
			lower:-5; upper:5; value:0.091022
2019-05-12 05:41:39.183127   PASS
==Test: pmu ulp
==SubTest: DMM PP1V85_SLEEP2_BONN_AVDD_CONN
			lower:-5; upper:5; value:0.091618
2019-05-12 05:41:39.328556   PASS
==Test: pmu ulp
==SubTest: DMM PP1V8_ALWAYS_LDO9
			lower:-5; upper:5; value:0.088638
2019-05-12 05:41:39.478717   PASS
==Test: pmu ulp
==SubTest: DMM PP_VDD_MAIN_SLEEP2_AUXLDO
			lower:-5; upper:5; value:0.090426
2019-05-12 05:41:39.627485   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_SLEEP2_LDO11
			lower:-5; upper:5; value:0.243021
2019-05-12 05:41:39.778070   PASS
==Test: pmu ulp
==SubTest: DMM PP0V6_SLEEP1_LDO12
			lower:-5; upper:5; value:0.611393
2019-05-12 05:41:39.949545   PASS
==Test: pmu ulp
==SubTest: DMM PP3V0_SLEEP2_LDO13
			lower:-5; upper:5; value:0.106520
2019-05-12 05:41:40.127568   PASS
==Test: pmu ulp
==SubTest: DMM PPVAR_SLEEP2_LDO14
			lower:-5; upper:5; value:0.129171
2019-05-12 05:41:40.272946   PASS
==Test: pmu ulp
==SubTest: DMM PMU_VDD_RTC
			lower:-5; upper:5; value:0.092214
2019-05-12 05:41:40.413234   PASS
==Test: pmu ulp
==SubTest: DELAY_250ms
			lower:; upper:; value:--PASS--
2019-05-12 05:41:40.665871   PASS
==Test: pmu ulp
==SubTest: SYSTEM_CURRENT 250
			lower:-1000; upper:5000; value:32.194121
2019-05-12 05:41:40.851034   PASS
==Test: pmu ulp
==SubTest: DMM PP_BATT_VCC
			lower:; upper:; value:31.937402
2019-05-12 05:41:41.415583   PASS
==Test: pmu ulp
==SubTest: DMM SNS_10V_SLEEP2_BOOST1
			lower:; upper:; value:3120.861834
2019-05-12 05:41:41.580997   PASS
==Test: pmu ulp
==SubTest: DMM PP10V_SLEEP2_BOOST1
			lower:; upper:; value:3121.369971
2019-05-12 05:41:41.724392   PASS
==Test: pmu ulp
==SubTest: CALC ulp_system_current_clean|X1454
			lower:-0.1; upper:20; value:0.726242975
2019-05-12 05:41:41.729703   PASS
==Test: pmu ulp
==SubTest: RELAY DUT_ARM_UART
			lower:; upper:; value:--PASS--
2019-05-12 05:41:41.754060   PASS
==Test: mag flat nbb
==SubTest: SUPPLY_0V PP_BATT_VCC
			lower:-0.02; upper:0.02; value:0.000117
2019-05-12 05:41:41.927656   PASS
==Test: mag flat nbb
==SubTest: DISCONNECT PP_BATT_VCC
			lower:; upper:; value:--PASS--
2019-05-12 05:41:41.941848   PASS
==Test: mag flat nbb
==SubTest: DISCONNECT DUT_ARM_UART
			lower:; upper:; value:--PASS--
2019-05-12 05:41:41.960978   PASS
==Test: mag flat nbb
==SubTest: RELAY PWR_DISCHARGE_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:41:41.991178   PASS
==Test: mag flat nbb
==SubTest: DELAY_1000ms 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:42.996157   PASS
==Test: mag flat nbb
==SubTest: DISCONNECT PWR_DISCHARGE_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.024570   PASS
==Test: mag flat nbb
==SubTest: LOOPBACK Y1 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.129430   PASS
==Test: mag flat nbb
==SubTest: RELAY SOLARIS_CHOOSE_CALLISTO_L
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.156477   PASS
==Test: mag flat nbb
==SubTest: RELAY MAXWELL_EN_H
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.187600   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.289734   PASS
==Test: mag flat nbb
==SubTest: RELAY MAXWELL_MAX_DUTY_EN_H
			lower:; upper:; value:--PASS--
2019-05-12 05:41:43.317841   PASS
==Test: mag flat nbb
==SubTest: DELAY_1000ms 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:44.321404   PASS
==Test: mag flat nbb
==SubTest: SOLDAC VTARGET_FROM_SOLARIS_DAC
			lower:; upper:; value:--PASS--
2019-05-12 05:41:44.402531   PASS
==Test: mag flat nbb
==SubTest: RELAY SOL_SUPPLY_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:41:44.435297   PASS
==Test: mag flat nbb
==SubTest: DELAY_1000ms 2
			lower:; upper:; value:--PASS--
2019-05-12 05:41:45.441292   PASS
==Test: mag flat nbb
==SubTest: DISCONNECT MAXWELL_MAX_DUTY_EN_H
			lower:; upper:; value:--PASS--
2019-05-12 05:41:45.467315   PASS
==Test: mag flat nbb
==SubTest: RELAY DUT_ARM_UART
			lower:; upper:; value:--PASS--
2019-05-12 05:41:45.479552   PASS
==Test: mag flat nbb
==SubTest: DMM PP_BATT_VCC
			lower:-0.5; upper:0.5; value:0.041195
2019-05-12 05:41:45.645860   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 0
			lower:4.4; upper:4.7; value:4.576986
2019-05-12 05:41:45.868375   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:45.911377   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 1
			lower:4.4; upper:4.7; value:4.577109
2019-05-12 05:41:46.052627   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 2
			lower:; upper:; value:--PASS--
2019-05-12 05:41:46.148571   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 2
			lower:4.4; upper:4.7; value:4.577125
2019-05-12 05:41:46.299630   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 3
			lower:; upper:; value:--PASS--
2019-05-12 05:41:46.398535   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 3
			lower:4.4; upper:4.7; value:4.577024
2019-05-12 05:41:46.557049   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 4
			lower:; upper:; value:--PASS--
2019-05-12 05:41:46.666039   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 4
			lower:4.4; upper:4.7; value:4.576906
2019-05-12 05:41:46.811417   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 5
			lower:; upper:; value:--PASS--
2019-05-12 05:41:46.915984   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 5
			lower:4.4; upper:4.7; value:4.576929
2019-05-12 05:41:47.070711   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 6
			lower:; upper:; value:--PASS--
2019-05-12 05:41:47.176418   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 6
			lower:4.4; upper:4.7; value:4.577092
2019-05-12 05:41:47.322170   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 7
			lower:; upper:; value:--PASS--
2019-05-12 05:41:47.425823   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 7
			lower:4.4; upper:4.7; value:4.577085
2019-05-12 05:41:47.579177   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 8
			lower:; upper:; value:--PASS--
2019-05-12 05:41:47.682067   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 8
			lower:4.4; upper:4.7; value:4.577137
2019-05-12 05:41:47.831720   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 9
			lower:; upper:; value:--PASS--
2019-05-12 05:41:47.934353   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 9
			lower:4.4; upper:4.7; value:4.577377
2019-05-12 05:41:48.088490   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 10
			lower:; upper:; value:--PASS--
2019-05-12 05:41:48.191561   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 10
			lower:4.4; upper:4.7; value:4.577268
2019-05-12 05:41:48.345638   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 11
			lower:; upper:; value:--PASS--
2019-05-12 05:41:48.449485   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 11
			lower:4.4; upper:4.7; value:4.577349
2019-05-12 05:41:48.600386   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 12
			lower:; upper:; value:--PASS--
2019-05-12 05:41:48.703395   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 12
			lower:4.4; upper:4.7; value:4.577310
2019-05-12 05:41:48.855731   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 13
			lower:; upper:; value:--PASS--
2019-05-12 05:41:48.958017   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 13
			lower:4.4; upper:4.7; value:4.577343
2019-05-12 05:41:49.111369   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 14
			lower:; upper:; value:--PASS--
2019-05-12 05:41:49.212403   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 14
			lower:4.4; upper:4.7; value:4.577383
2019-05-12 05:41:49.361991   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 15
			lower:; upper:; value:--PASS--
2019-05-12 05:41:49.465067   PASS
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 15
			lower:4.4; upper:4.7; value:4.577345
2019-05-12 05:41:49.615813   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 16
			lower:; upper:; value:--PASS--
2019-05-12 05:41:49.717792   PASS
==Test: mag flat nbb
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:41:53.269853   PASS
==Test: mag flat nbb
==SubTest: DIAGS_thermalmonitor
			lower:; upper:; value:--PASS--
2019-05-12 05:41:53.284247   PASS
==Test: mag flat nbb
==SubTest: DELAY_100ms 17
			lower:; upper:; value:--PASS--
2019-05-12 05:41:53.386667   PASS
==Test: mag flat nbb
==SubTest: DMM SNS_PP_VRECT
			lower:5; upper:8; value:3.696307
2019-05-12 05:41:53.540544   FAIL
==Test: mag flat nbb
==SubTest: DMM PP_VDD_MAIN 16
			lower:4.4; upper:4.7; value:4.576851
2019-05-12 05:41:53.695028   PASS
==Test: mag flat nbb
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:-0.1; upper:0.5; value:0.012489
2019-05-12 05:41:53.848543   PASS
==Test: mag flat nbb
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:-0.1; upper:0.1; value:0.000117
2019-05-12 05:41:53.993271   PASS
==Test: mag flat nbb
==SubTest: DIAGS_c26 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:54.007656   PASS
==Test: mag flat nbb
==SubTest: PARSE cal_nbb_flat_mag_status
			lower:; upper:; value:0x0900F7C0
2019-05-12 05:41:54.010894   PASS
==Test: mag flat nbb
==SubTest: DIAGS_c26 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:54.764090   PASS
==Test: mag flat nbb
==SubTest: SUPPLY_3.85V PP_BATT_VCC
			lower:3.84; upper:3.86; value:3.849771
2019-05-12 05:41:54.917782   PASS
==Test: mag flat nbb
==SubTest: DELAY_500ms
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.421991   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.452561   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.474995   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 2
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.487907   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 3
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.635926   PASS
==Test: mag flat buck
==SubTest: PARSE mag_adc_vmid_5.0
			lower:4900; upper:5100; value:5000.000000
2019-05-12 05:41:55.640406   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 4
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.653591   PASS
==Test: mag flat buck
==SubTest: DIAGS_c26 5
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.799201   PASS
==Test: mag flat buck
==SubTest: PARSE mag_adc_vmid_4.5
			lower:4400; upper:4600; value:4500.000000
2019-05-12 05:41:55.808201   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_socgpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.822856   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_socgpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.834031   PASS
==Test: mag flat comm setup
==SubTest: DELAY_100ms 0
			lower:; upper:; value:--PASS--
2019-05-12 05:41:55.938268   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 0
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.483998   PASS
==Test: mag flat comm setup
==SubTest: DELAY_100ms 1
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.590570   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 1
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.607248   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 2
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.617870   PASS
==Test: mag flat comm setup
==SubTest: RELAY MAXWELL_MAX_DUTY_EN_H
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.647860   PASS
==Test: mag flat comm setup
==SubTest: DISCONNECT SOL_SUPPLY_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.679665   PASS
==Test: mag flat comm setup
==SubTest: SOLADC SNS_PP_VRECT
			lower:; upper:; value:0
2019-05-12 05:42:00.837635   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 3
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.867193   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 4
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.881114   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 5
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.893254   PASS
==Test: mag flat comm setup
==SubTest: PARSE mag_control_reg1
			lower:; upper:; value:0x0003014D
2019-05-12 05:42:00.908783   PASS
==Test: mag flat comm setup
==SubTest: CALC mag_control_reg1
			lower:; upper:; value:196937
2019-05-12 05:42:00.926123   PASS
==Test: mag flat comm setup
==SubTest: DIAGS_c26 6
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.944102   PASS
==Test: mag flat comm pcap
==SubTest: DIAGS_c26 0
			lower:; upper:; value:--PASS--
2019-05-12 05:42:00.960725   PASS
==Test: mag flat comm pcap
==SubTest: DIAGS_c26 1
			lower:; upper:; value:--PASS--
2019-05-12 05:42:01.004491   PASS
==Test: mag flat comm pcap
==SubTest: DIAGS_c26 2
			lower:; upper:; value:--PASS--
2019-05-12 05:42:01.054240   PASS
==Test: mag flat comm pcap
==SubTest: DIAGS_c26 3
			lower:; upper:; value:--PASS--
2019-05-12 05:42:01.088819   PASS
==Test: mag flat comm pcap
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:42:01.114647   PASS
==Test: mag flat comm pcap
==SubTest: DELAY_500ms
			lower:; upper:; value:--PASS--
2019-05-12 05:42:01.489290   PASS
==Test: mag flat comm pcap
==SubTest: SOLADC THDN
			lower:; upper:; value:-23.66010657296701
2019-05-12 05:42:02.292597   PASS
==Test: mag flat comm pcap
==SubTest: SOLADC AMP
			lower:; upper:; value:0.083671
2019-05-12 05:42:02.313915   PASS
==Test: mag flat comm pcap
==SubTest: SOLADC FRE
			lower:980; upper:1040; value:1007.6614583260624
2019-05-12 05:42:02.340677   PASS
==Test: mag flat comm pcap
==SubTest: SOLADC RMS
			lower:; upper:; value:1.005163
2019-05-12 05:42:02.437307   PASS
==Test: mag flat comm pcap
==SubTest: SOLADC VPP
			lower:; upper:; value:0.080716
2019-05-12 05:42:02.609485   PASS
==Test: mag flat comm pcap
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.359428   PASS
==Test: mag flat comm ncap
==SubTest: DIAGS_c26 0
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.384319   PASS
==Test: mag flat comm ncap
==SubTest: DIAGS_c26 1
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.413508   PASS
==Test: mag flat comm ncap
==SubTest: DIAGS_c26 2
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.437657   PASS
==Test: mag flat comm ncap
==SubTest: DIAGS_c26 3
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.448233   PASS
==Test: mag flat comm ncap
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.456123   PASS
==Test: mag flat comm ncap
==SubTest: DELAY_500ms
			lower:; upper:; value:--PASS--
2019-05-12 05:42:03.920101   PASS
==Test: mag flat comm ncap
